symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2016-04-22,2016-04-25,6302.0,6192.0,14,88228.0,86688.0,-1540.0,-0.017454776261504285,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,6129.79,6129.79,6336.0,172.21,2506.36,-0.64,-1.75%
OI0,CZCE,OI0.CZCE,GOOD_SETUP,2016-10-20,2016-10-21,6946.0,6914.0,24,166704.0,165936.0,-768.0,-0.004606968039159228,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,6742.93,6742.93,7066.0,203.07,5005.01,-0.16,-0.46%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2016-11-28,2016-11-30,7554.0,7488.0,10,75540.0,74880.0,-660.0,-0.008737092930897538,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,7309.19,7309.19,7638.0,244.81,2500.59,-0.27,-0.87%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2016-12-01,2016-12-02,7722.0,7676.0,6,46332.0,46056.0,-276.0,-0.005957005957005957,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,7360.14,7360.14,7840.0,361.86,2498.93,-0.13,-0.60%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2017-08-11,2017-08-14,6896.0,6896.0,19,131024.0,131024.0,0.0,0.0,2,normal_breakout_with_volume_expansion,intraday_stop,6770.61,6896.0,7066.0,125.39,2498.24,0.0,0.00%
OI0,CZCE,OI0.CZCE,GOOD_SETUP,2018-05-25,2018-05-28,6863.0,6781.0,43,295109.0,291583.0,-3526.0,-0.011948127640973335,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,6747.05,6747.05,6936.0,115.95,4996.49,-0.71,-1.19%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2018-10-10,2018-10-12,6810.0,6726.0,19,129390.0,127794.0,-1596.0,-0.012334801762114538,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,6683.18,6683.18,6848.0,126.82,2489.43,-0.66,-1.23%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-01-29,2019-02-12,6739.0,6665.0,24,161736.0,159960.0,-1776.0,-0.010980857694019885,6,normal_breakout_with_volume_expansion,outside_down_reversal_exit_next_open,6638.14,6638.14,6771.0,100.86,2485.44,-0.73,-1.10%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-02-20,2019-02-21,6763.0,6679.19,29,196127.0,193696.39,-2430.61,-0.012393063095414119,2,normal_breakout_with_volume_expansion,intraday_stop,6679.19,6679.19,6768.0,83.81,2481.0,-1.0,-1.24%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-03-05,2019-03-06,6882.0,6925.0,17,116994.0,117725.0,731.0,0.006248183667538506,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,6739.07,6739.07,6936.0,142.93,2474.92,0.3,0.62%
OI0,CZCE,OI0.CZCE,GOOD_SETUP,2019-03-11,2019-03-12,7199.0,7020.46,27,194373.0,189552.54,-4820.46,-0.024800071438493495,2,good_breakout_with_volume_expansion,intraday_stop,7020.46,7020.46,7256.0,178.54,4953.5,-1.0,-2.48%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-08-09,2019-08-13,7156.0,7288.0,22,157432.0,160336.0,2904.0,0.0184460592509782,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,7045.96,7156.0,7355.0,110.04,2464.7,1.2,1.84%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-08-14,2019-08-14,7370.0,7251.56,20,147400.0,145031.14,-2368.86,-0.016070943981391732,1,normal_breakout_with_volume_expansion,same_day_initial_stop,7251.56,7251.56,7405.0,118.44,2471.96,-1.0,-1.61%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-08-23,2019-08-23,7460.0,7354.02,23,171580.0,169142.49,-2437.51,-0.014206242818843397,1,normal_breakout_with_volume_expansion,same_day_initial_stop,7354.02,7354.02,7486.0,105.98,2466.04,-1.0,-1.42%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-08-27,2019-08-27,7536.0,7425.23,22,165792.0,163355.03,-2436.97,-0.014698968759478272,1,normal_breakout_with_volume_expansion,same_day_initial_stop,7425.23,7425.23,7541.0,110.77,2459.94,-1.0,-1.47%
OI0,CZCE,OI0.CZCE,GOOD_SETUP,2019-10-31,2019-11-01,7408.0,7405.0,40,296320.0,296200.0,-120.0,-0.00040496760259179265,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,7285.46,7285.46,7459.0,122.54,4907.7,-0.02,-0.04%
OI0,CZCE,OI0.CZCE,NORMAL_SETUP,2019-11-04,2019-11-06,7455.0,7455.0,30,223650.0,223650.0,0.0,0.0,3,normal_breakout_with_volume_expansion,intraday_stop,7373.54,7455.0,7662.0,81.46,2453.55,0.0,0.00%
